Time          F_x          F_y          F_z
9.7000e-01  1.0675e+00  -3.8587e+00  0.0000e+00
9.8000e-01  1.1160e+00  -3.8826e+00  0.0000e+00
9.9000e-01  1.1870e+00  -3.7132e+00  0.0000e+00
1.0000e+00  1.2693e+00  -3.3807e+00  0.0000e+00
1.0100e+00  1.3507e+00  -2.9408e+00  0.0000e+00
1.0200e+00  1.4130e+00  -2.4906e+00  0.0000e+00
1.0300e+00  1.4594e+00  -2.0294e+00  0.0000e+00
1.0400e+00  1.4902e+00  -1.5915e+00  0.0000e+00
1.0500e+00  1.5138e+00  -1.1841e+00  0.0000e+00
1.0600e+00  1.5193e+00  -9.3352e-01  0.0000e+00
1.0700e+00  1.5087e+00  -9.1004e-01  0.0000e+00
1.0800e+00  1.4899e+00  -1.1640e+00  0.0000e+00
1.0900e+00  1.4865e+00  -1.6133e+00  0.0000e+00
1.1000e+00  1.5035e+00  -2.1418e+00  0.0000e+00
1.1100e+00  1.5303e+00  -2.6139e+00  0.0000e+00
1.1200e+00  1.5536e+00  -2.9109e+00  0.0000e+00
1.1300e+00  1.5691e+00  -2.9294e+00  0.0000e+00
1.1400e+00  1.5758e+00  -2.6380e+00  0.0000e+00
1.1500e+00  1.5843e+00  -2.0822e+00  0.0000e+00
1.1600e+00  1.6170e+00  -1.2989e+00  0.0000e+00
1.1700e+00  1.6801e+00  -3.5287e-01  0.0000e+00
1.1800e+00  1.7448e+00  5.9249e-01  0.0000e+00
1.1900e+00  1.7755e+00  1.3512e+00  0.0000e+00
1.2000e+00  1.7638e+00  1.7391e+00  0.0000e+00
1.2100e+00  1.7117e+00  1.6912e+00  0.0000e+00
1.2200e+00  1.6422e+00  1.3359e+00  0.0000e+00
1.2300e+00  1.5837e+00  8.2102e-01  0.0000e+00
1.2400e+00  1.5592e+00  2.3518e-01  0.0000e+00
1.2500e+00  1.5742e+00  -4.4961e-01  0.0000e+00
1.2600e+00  1.6113e+00  -1.1185e+00  0.0000e+00
1.2700e+00  1.6386e+00  -1.6584e+00  0.0000e+00
1.2800e+00  1.6370e+00  -1.8674e+00  0.0000e+00
1.2900e+00  1.6078e+00  -1.6841e+00  0.0000e+00
1.3000e+00  1.5737e+00  -1.1393e+00  0.0000e+00
1.3100e+00  1.5776e+00  -3.5589e-01  0.0000e+00
1.3200e+00  1.6331e+00  5.0652e-01  0.0000e+00
1.3300e+00  1.6943e+00  1.2976e+00  0.0000e+00
1.3400e+00  1.7108e+00  1.7728e+00  0.0000e+00
1.3500e+00  1.6819e+00  1.8061e+00  0.0000e+00
1.3600e+00  1.6247e+00  1.5293e+00  0.0000e+00
1.3700e+00  1.5675e+00  1.1298e+00  0.0000e+00
1.3800e+00  1.5282e+00  6.2439e-01  0.0000e+00
1.3900e+00  1.5275e+00  -3.8135e-02  0.0000e+00
1.4000e+00  1.5741e+00  -8.2658e-01  0.0000e+00
1.4100e+00  1.6567e+00  -1.5723e+00  0.0000e+00
1.4200e+00  1.7285e+00  -2.0700e+00  0.0000e+00
1.4300e+00  1.7437e+00  -2.1884e+00  0.0000e+00
1.4400e+00  1.6983e+00  -1.9695e+00  0.0000e+00
1.4500e+00  1.6301e+00  -1.5543e+00  0.0000e+00
1.4600e+00  1.5794e+00  -1.0023e+00  0.0000e+00
1.4700e+00  1.5741e+00  -2.9858e-01  0.0000e+00
1.4800e+00  1.6252e+00  5.3918e-01  0.0000e+00
1.4900e+00  1.7036e+00  1.3350e+00  0.0000e+00
1.5000e+00  1.7507e+00  1.8597e+00  0.0000e+00
1.5100e+00  1.7303e+00  1.9165e+00  0.0000e+00
1.5200e+00  1.6577e+00  1.5574e+00  0.0000e+00
1.5300e+00  1.5755e+00  9.7523e-01  0.0000e+00
1.5400e+00  1.5256e+00  3.0527e-01  0.0000e+00
1.5500e+00  1.5282e+00  -4.4382e-01  0.0000e+00
1.5600e+00  1.5856e+00  -1.2658e+00  0.0000e+00
1.5700e+00  1.6684e+00  -2.0545e+00  0.0000e+00
1.5800e+00  1.7240e+00  -2.5713e+00  0.0000e+00
1.5900e+00  1.7188e+00  -2.6715e+00  0.0000e+00
1.6000e+00  1.6661e+00  -2.3841e+00  0.0000e+00
1.6100e+00  1.6049e+00  -1.8334e+00  0.0000e+00
1.6200e+00  1.5717e+00  -1.1093e+00  0.0000e+00
1.6300e+00  1.5923e+00  -2.7761e-01  0.0000e+00
1.6400e+00  1.6499e+00  5.1761e-01  0.0000e+00
1.6500e+00  1.6920e+00  1.1057e+00  0.0000e+00
1.6600e+00  1.6804e+00  1.3239e+00  0.0000e+00
1.6700e+00  1.6256e+00  1.1807e+00  0.0000e+00
1.6800e+00  1.5595e+00  7.7608e-01  0.0000e+00
1.6900e+00  1.5240e+00  1.7347e-01  0.0000e+00
1.7000e+00  1.5485e+00  -6.1746e-01  0.0000e+00
1.7100e+00  1.6420e+00  -1.4884e+00  0.0000e+00
1.7200e+00  1.7416e+00  -2.1426e+00  0.0000e+00
1.7300e+00  1.7703e+00  -2.3145e+00  0.0000e+00
1.7400e+00  1.7218e+00  -2.0612e+00  0.0000e+00
1.7500e+00  1.6422e+00  -1.5791e+00  0.0000e+00
1.7600e+00  1.5707e+00  -1.0138e+00  0.0000e+00
1.7700e+00  1.5348e+00  -3.7288e-01  0.0000e+00
1.7800e+00  1.5515e+00  4.1285e-01  0.0000e+00
1.7900e+00  1.6296e+00  1.2909e+00  0.0000e+00
1.8000e+00  1.7425e+00  2.0886e+00  0.0000e+00
1.8100e+00  1.8115e+00  2.4765e+00  0.0000e+00
1.8200e+00  1.7895e+00  2.3947e+00  0.0000e+00
1.8300e+00  1.7049e+00  1.9655e+00  0.0000e+00
1.8400e+00  1.6165e+00  1.4233e+00  0.0000e+00
1.8500e+00  1.5577e+00  8.2893e-01  0.0000e+00
1.8600e+00  1.5435e+00  1.6182e-01  0.0000e+00
1.8700e+00  1.5724e+00  -5.7753e-01  0.0000e+00
1.8800e+00  1.6284e+00  -1.3046e+00  0.0000e+00
1.8900e+00  1.6713e+00  -1.7884e+00  0.0000e+00
1.9000e+00  1.6663e+00  -1.8853e+00  0.0000e+00
1.9100e+00  1.6139e+00  -1.5959e+00  0.0000e+00
1.9200e+00  1.5517e+00  -1.0608e+00  0.0000e+00
1.9300e+00  1.5219e+00  -3.8282e-01  0.0000e+00
1.9400e+00  1.5436e+00  3.5274e-01  0.0000e+00
1.9500e+00  1.5971e+00  1.0919e+00  0.0000e+00
1.9600e+00  1.6406e+00  1.6816e+00  0.0000e+00
1.9700e+00  1.6424e+00  1.9175e+00  0.0000e+00
1.9800e+00  1.6023e+00  1.7806e+00  0.0000e+00
1.9900e+00  1.5551e+00  1.3814e+00  0.0000e+00
2.0000e+00  1.5352e+00  7.6995e-01  0.0000e+00
2.0100e+00  1.5763e+00  -4.6615e-02  0.0000e+00
2.0200e+00  1.6756e+00  -9.1478e-01  0.0000e+00
2.0300e+00  1.7623e+00  -1.5090e+00  0.0000e+00
2.0400e+00  1.7650e+00  -1.6260e+00  0.0000e+00
2.0500e+00  1.7001e+00  -1.3519e+00  0.0000e+00
2.0600e+00  1.6136e+00  -8.9559e-01  0.0000e+00
2.0700e+00  1.5472e+00  -3.7470e-01  0.0000e+00
2.0800e+00  1.5229e+00  2.4175e-01  0.0000e+00
2.0900e+00  1.5605e+00  1.0242e+00  0.0000e+00
2.1000e+00  1.6670e+00  1.9318e+00  0.0000e+00
2.1100e+00  1.7996e+00  2.6694e+00  0.0000e+00
2.1200e+00  1.8619e+00  2.9386e+00  0.0000e+00
2.1300e+00  1.8172e+00  2.6750e+00  0.0000e+00
2.1400e+00  1.7191e+00  2.1289e+00  0.0000e+00
2.1500e+00  1.6251e+00  1.4916e+00  0.0000e+00
